ticker,model,horizon,alpha,l1_ratio,rmse,mae,qlike,mase,hit_rate,mz_alpha,mz_beta,mz_r2,mz_alpha_p,mz_beta_p,dm_stat,dm_p,jb_p,ljungbox_p,bp_p,tail_corr,tail_corr_p,beta_stability,ceq_gain_bps,enc_beta2,enc_beta2_p,n_params,param_sample_ratio
STI_SINGAPORE,ENet-HAR-X,21,0.0316,0.9,8.639002264714671e-05,4.745004206041149e-05,0.26777825247935866,0.43130525968733907,0.9374665954035275,-1.8957342201792735e-05,0.9496480123772415,0.1522764654396772,9.196701083906953e-05,4.237070435246145e-69,-6.126743454031204,1.0908651759677923e-09,0.0,0.0,,0.0895565938361368,0.22287938597287196,0.11193163102568193,,,,9,0.001202726179339837
STI_SINGAPORE,ENet-HAR-X,63,0.3,0.1,7.002022494534207e-05,5.50640663328237e-05,0.27574019070280115,0.500514233451734,0.8781400320684126,-3.46643058295927e-06,0.6920859711244656,0.07880771635314265,0.5203201211022732,3.1656880517133797e-35,-8.036379908885992,1.5543122344752192e-15,0.0,0.0,,-0.1681500702858045,0.0214253486722911,0.06874434458591215,,,,9,0.001202726179339837
STI_SINGAPORE,ENet-HAR-X,100,0.0316,0.9,6.661979687210473e-05,5.584992506999939e-05,0.26462870933843163,0.5076574306333843,0.8337787279529664,3.327591120488612e-05,0.29888683052336384,0.02368210775600421,1.49974099211857e-13,2.201893372379393e-11,-5.00816460107277,6.012171214209161e-07,0.0,0.0,,-0.004507100150848385,0.9511834324610084,0.10311737420030886,,,,9,0.001202726179339837
EUROSTOXX50,ENet-HAR-X,1,0.0001,0.1,0.0001263385764336527,6.10917739921849e-05,0.383479462141369,0.5570520989383059,0.8717105263157895,1.8716410649719665e-05,0.560594022790623,0.1402644401694083,0.0016308837094710846,9.593560579990144e-32,-3.9411874935235525,8.728415478076457e-05,0.0,6.518410825251288e-30,,0.09453940169227687,0.3700382342720374,0.20958822503283822,,,,9,0.0024677817384151355
EUROSTOXX50,ENet-HAR-X,5,0.0001,0.1,7.509209941397435e-05,3.992912134669696e-05,0.20453419994408922,0.3640850379919434,0.8925438596491229,7.476772009847508e-06,0.7771273620118847,0.24957158102613874,0.09456426438631567,9.727499514121761e-59,-12.049125286979002,0.0,0.0,2.6815802680694636e-171,,-0.09020852919871153,0.39245986076585193,0.21222692555736802,,,,9,0.0024677817384151355
EUROSTOXX50,ENet-HAR-X,10,0.00316,0.1,6.605820339309194e-05,3.866222158431035e-05,0.1846365393321709,0.3525330871209115,0.8859649122807017,1.2903004644271626e-05,0.6780165118516559,0.21176383584079284,0.003021062701430217,5.448305511161912e-49,-9.548649837284517,0.0,0.0,0.0,,-0.09557202965337608,0.36481002435334065,0.15159464746074064,,,,9,0.0024677817384151355
EUROSTOXX50,ENet-HAR-X,21,0.00316,0.1,5.534562383554212e-05,3.891957865065597e-05,0.1588666360729462,0.3548797417458496,0.8486842105263158,1.4080239004788136e-05,0.6167635530074488,0.2164733705297639,0.0004382722841577297,3.526568487375043e-50,-9.257801919955643,0.0,0.0,0.0,,-0.18275973675693172,0.08120785511978047,0.1401018012972408,,,,9,0.0024677817384151355
EUROSTOXX50,ENet-HAR-X,63,0.0316,0.1,5.166535543880622e-05,4.3686860226759916e-05,0.1562377416637724,0.3983491654449934,0.7894736842105263,2.237784220906738e-05,0.4519595870487528,0.17639409312056742,6.437846222756599e-10,2.8132820366524972e-40,-9.923182102459627,0.0,4.301441089773271e-117,0.0,,-0.7547431530601235,3.671782569979894e-18,0.09957533425988534,,,,9,0.0024677817384151355
EUROSTOXX50,ENet-HAR-X,100,0.1,0.1,5.485727431724144e-05,4.8521027149080244e-05,0.17624892911576143,0.4424284686755912,0.8497807017543859,1.0567219893896625e-05,0.5052205342672715,0.22243690687840223,0.004293474160747525,1.0758784950469722e-51,-10.971210460049361,0.0,8.249718895558864e-69,0.0,,0.5914183992725367,5.38494092263047e-10,0.0753388676982056,,,,9,0.0024677817384151355
NIFTY50,ENet-HAR-X,1,1.0,0.1,0.00016957024405148921,5.9932019491738466e-05,0.5148581422411841,0.3839141864681622,0.9321058688147296,-1.9569731631965595e-05,1.0965911055318407,0.025275732121322947,0.32016826740187904,2.4785948746545753e-06,-9.507824569187239,0.0,0.0,2.2296012572674057e-07,,0.0029343150834730625,0.9784807447174559,0.08051789113032755,,,,9,0.002591419522027066
NIFTY50,ENet-HAR-X,5,0.3,0.1,9.469684940189068e-05,4.361082139868219e-05,0.26196005513986065,0.27936340474546106,0.9551208285385501,1.739234932509688e-05,0.6577320453608232,0.044260555538868096,0.04862008425573867,3.7738245775270645e-10,-8.865559610044274,0.0,0.0,1.1559429083753173e-230,,0.048224830502296416,0.6573581549906703,0.11100358327765565,,,,9,0.002591419522027066
NIFTY50,ENet-HAR-X,10,0.3,0.1,7.256130174135803e-05,4.148985866744135e-05,0.21329407082187837,0.2657768830764246,0.9631760644418872,1.8345256242965467e-05,0.6033965255179092,0.06270625611763236,0.009902806851543874,6.840687154411778e-14,-10.334494207675533,0.0,0.0,0.0,,-0.16364729897207841,0.12988559509285277,0.1024452261929578,,,,9,0.002591419522027066
NIFTY50,ENet-HAR-X,21,0.3,0.1,5.626590615443335e-05,4.2605201367161514e-05,0.1820556089464162,0.27292157616081664,0.9413118527042578,1.336050514171203e-05,0.600387476465004,0.10918082066679324,0.01777473787088808,1.391616428605989e-23,-13.91459347624614,0.0,0.0,0.0,,-0.5422832980972515,5.79159979511307e-08,0.0923479896572901,,,,9,0.002591419522027066
NIFTY50,ENet-HAR-X,63,1.0,0.1,6.368253634414221e-05,5.781789962072202e-05,0.25733249603500624,0.3703714989822293,0.9907940161104718,-2.134336427105523e-05,0.7233464882756951,0.16178919169854977,0.002018692893344409,3.97571669415839e-35,-20.109171133652552,0.0,1.0624915151486802e-23,0.0,,0.23259459065393304,0.03016279787367997,0.045954807828628506,,,,9,0.002591419522027066
NIFTY50,ENet-HAR-X,100,1.0,0.1,6.78742728017752e-05,6.279160117345836e-05,0.2723647653650834,0.4022321738192824,0.9919447640966629,-3.021160977445033e-05,0.7453941501218222,0.20553408778679882,2.9663550539228615e-06,2.8647133440750184e-45,-22.42448975694452,0.0,0.0001549615036391183,0.0,,-0.1475359043522636,0.17266356848802988,0.04154652717196699,,,,9,0.002591419522027066
NIKKEI225,ENet-HAR-X,1,1.0,0.9,0.0015510883778236304,0.0015298508115210076,2.270972623117019,13.536472201012321,0.30663076405250755,-0.0002012810848554844,0.1917825873675656,0.07640961129611956,8.726290230558103e-23,2.9953773022031398e-53,56.712472900173786,0.0,0.0,0.0,,0.17551398256096246,0.00240060558801109,0.1461284664247168,,,,9,0.0007575757575757576
NIKKEI225,ENet-HAR-X,5,0.3,0.1,0.00021210845951853227,7.900761498428798e-05,0.2473865735422784,0.699077567465416,0.439919219118142,8.126326550549001e-05,0.19999872905179028,0.1092273692519714,5.9424961865907966e-167,1.1862038198363884e-76,1.1718840096827852,0.24133762453300678,0.0,1.7006838144031312e-09,,0.33533136553270787,3.0829892830705933e-09,0.10871982049998737,,,,9,0.0007575757575757576
NIKKEI225,ENet-HAR-X,10,0.1,0.5,0.00013120669730096364,6.839874176222231e-05,0.2017653499723377,0.6052078146940466,0.4523729384045776,6.516497658472852e-05,0.32563206247848164,0.10290047207689046,1.1564187755656169e-85,4.46721642826366e-72,0.8951495751443652,0.37077967480617735,0.0,0.0,,0.2825062707613043,7.449029136190672e-07,0.10058257894663372,,,,9,0.0007575757575757576
NIKKEI225,ENet-HAR-X,21,0.01,0.9,0.00017455263267375967,5.872565304073193e-05,0.15835600473730915,0.5196180986313426,0.572871087176035,0.00010003505019319707,0.0965913348565555,0.030035593982104092,0.0,1.824580343834391e-21,1.092774586987155,0.27458141105353917,0.0,4.205808590589144e-96,,0.17970655218977372,0.0018753257372497523,0.11481249252512138,,,,9,0.0007575757575757576
NIKKEI225,ENet-HAR-X,63,0.01,0.9,7.798237689662493e-05,5.1026445954310686e-05,0.124025441764394,0.4514937417265274,0.4607876135981151,8.415229710899481e-05,0.21997733388567914,0.03209267947149319,1.3634167681538775e-141,7.556690081254932e-23,1.4613886243820233,0.14401460817174105,0.0,0.0,,-0.3004706964438508,1.2998811288856355e-07,0.08755670564732132,,,,9,0.0007575757575757576
NIKKEI225,ENet-HAR-X,100,0.01,0.9,6.168093815512258e-05,4.645567345758242e-05,0.10430593102905848,0.4110504943371958,0.41534836755301247,7.55997830429209e-05,0.2845280140494124,0.03072186254354725,1.5311495336036666e-75,6.310362336245922e-22,2.0172373414931717,0.04376055044291882,0.0,0.0,,-0.464684483140859,2.5795710707821847e-17,0.08848443962298924,,,,9,0.0007575757575757576
DJIA,ENet-HAR-X,1,0.00316,0.1,0.0010788103069477785,0.00010850165843562473,0.4217630045903113,1.520545252896502,0.8099762470308789,9.100056373091044e-05,0.0920173112277978,0.059090533895371666,1.3581142808761134e-19,4.4969841998152404e-24,1.0260636678557418,0.30500902237241045,0.0,3.8639991989258515e-117,,0.4169335189697181,1.712151126387281e-08,0.1659335345236123,,,,9,0.001336898395721925
DJIA,ENet-HAR-X,5,0.000316,0.9,0.0007544983456830821,8.266108776870162e-05,0.2646571249877047,1.158414778337546,0.8432304038004751,8.701212639308727e-05,0.13734621677433378,0.12217698410036526,1.4800068912989023e-31,1.4089337211220475e-49,0.9953574244276009,0.31970554115454086,0.0,4.722255351893858e-64,,0.32170205360250614,1.998816440587163e-05,0.16870120156132445,,,,9,0.001336898395721925
DJIA,ENet-HAR-X,10,0.000316,0.1,0.000356843008461486,6.94141622159723e-05,0.2734640980130991,0.9727719959590007,0.8402612826603325,7.296989632560492e-05,0.30654184479281343,0.15557821965911234,1.659081232139839e-28,8.473781060796971e-64,0.8555981303549642,0.3923418929398972,0.0,1.2251634152378342e-218,,0.22550096961861668,0.0032002257867306374,0.15085905586382856,,,,9,0.001336898395721925
DJIA,ENet-HAR-X,21,0.000316,0.9,0.00023472766153108193,6.573069113631597e-05,0.36273527212618495,0.9211517300100147,0.8390736342042755,5.787282892612818e-05,0.508875310045537,0.13534152583810455,2.4112565796004307e-21,4.0543862114935445e-55,-0.07838307947250552,0.9375326505081902,0.0,0.0,,0.0724006762468301,0.34955555029354635,0.13053294809769173,,,,9,0.001336898395721925
DJIA,ENet-HAR-X,63,0.000316,0.5,0.00016458284660550305,6.371678562232484e-05,0.6105232064163314,0.8929288022388401,0.7957244655581948,6.927019392350111e-05,0.4003131196743732,0.045707218198624666,1.799714155409218e-36,7.34516037417608e-19,0.9424607305044096,0.34609206908495294,0.0,0.0,,-0.4125478593804386,2.4956464078425316e-08,0.11655379339764772,,,,9,0.001336898395721925
