ticker,start_date,end_date,type,label
RUSSELL2000,2002-07-19,2002-08-15,data,drawdown_35%
RUSSELL2000,2002-08-30,2002-11-20,data,drawdown_35%
RUSSELL2000,2002-12-17,2003-01-03,data,drawdown_35%
RUSSELL2000,2003-01-17,2003-04-22,data,drawdown_35%
RUSSELL2000,2008-10-14,2009-07-29,data,drawdown_35%
RUSSELL2000,2020-03-16,2020-03-25,data,drawdown_35%
SENSEX,1997-11-27,1998-03-31,literature,Asian_Financial_1997
SENSEX,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
SENSEX,2007-10-01,2009-03-31,literature,Global_Financial_2008
SENSEX,2010-11-01,2012-06-30,literature,Eurozone_2011
SENSEX,2015-06-01,2016-02-29,literature,China_2015
SENSEX,2020-02-01,2020-08-31,literature,Covid_2020
SENSEX,2000-10-11,2000-11-01,data,drawdown_35%
SENSEX,2001-03-12,2003-08-07,data,drawdown_35%
SENSEX,2008-07-03,2008-07-17,data,drawdown_35%
SENSEX,2008-09-25,2009-05-15,data,drawdown_35%
SP500,1929-08-01,1933-12-31,literature,Great_Depression_1929
SP500,1937-05-01,1938-06-30,literature,Recession_1937
SP500,1973-10-01,1974-03-31,literature,Oil_Crisis_1973
SP500,1987-10-01,1987-11-30,literature,Black_Monday_1987
SP500,1997-07-01,1998-03-31,literature,Asian_Financial_1997
SP500,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
SP500,2007-10-01,2009-03-31,literature,Global_Financial_2008
SP500,2010-11-01,2012-06-30,literature,Eurozone_2011
SP500,2015-06-01,2016-02-29,literature,China_2015
SP500,2020-02-01,2020-08-31,literature,Covid_2020
SP500,1929-11-11,1929-11-19,data,drawdown_35%
SP500,1929-12-20,1929-12-24,data,drawdown_35%
SP500,1930-06-20,1930-07-09,data,drawdown_35%
SP500,1930-08-08,1930-08-18,data,drawdown_35%
SP500,1930-09-19,1950-12-29,data,drawdown_35%
SP500,1974-08-14,1975-02-04,data,drawdown_35%
SP500,2002-06-21,2003-06-10,data,drawdown_35%
SP500,2003-06-23,2003-07-01,data,drawdown_35%
SP500,2003-07-29,2003-08-15,data,drawdown_35%
SP500,2008-10-07,2009-08-20,data,drawdown_35%
STI_SINGAPORE,1997-07-01,1998-03-31,literature,Asian_Financial_1997
STI_SINGAPORE,2000-03-01,2002-10-31,literature,Dotcom_Bubble_2000
STI_SINGAPORE,2007-10-01,2009-03-31,literature,Global_Financial_2008
STI_SINGAPORE,2010-11-01,2012-06-30,literature,Eurozone_2011
STI_SINGAPORE,2015-06-01,2016-02-29,literature,China_2015
STI_SINGAPORE,2020-02-01,2020-08-31,literature,Covid_2020
STI_SINGAPORE,1997-10-24,1997-10-31,data,drawdown_35%
STI_SINGAPORE,1997-12-15,1998-03-16,data,drawdown_35%
STI_SINGAPORE,1998-04-01,1999-04-06,data,drawdown_35%
STI_SINGAPORE,2001-03-28,2001-04-20,data,drawdown_35%
STI_SINGAPORE,2001-05-30,2001-06-05,data,drawdown_35%
STI_SINGAPORE,2001-07-11,2002-01-04,data,drawdown_35%
STI_SINGAPORE,2002-01-16,2002-01-24,data,drawdown_35%
STI_SINGAPORE,2002-05-31,2003-10-03,data,drawdown_35%
STI_SINGAPORE,2003-11-19,2003-11-24,data,drawdown_35%
STI_SINGAPORE,2008-09-23,2009-07-23,data,drawdown_35%
STI_SINGAPORE,2020-03-16,2020-04-06,data,drawdown_35%
STI_SINGAPORE,2020-09-04,2020-10-05,data,drawdown_35%
STI_SINGAPORE,2020-10-27,2020-11-04,data,drawdown_35%
