ticker,thr,TPR,FPR_per_day,mean_delay_days,n_windows,true_positives,false_positives
HANG_SENG_CHINA_ENT,0.7,1.0,0.5531062124248497,-10.05,20,20,276
HANG_SENG_CHINA_ENT,0.75,1.0,0.5410821643286573,-10.05,20,20,270
HANG_SENG_CHINA_ENT,0.7999999999999999,1.0,0.5290581162324649,-10.05,20,20,264
HANG_SENG_CHINA_ENT,0.85,1.0,0.5150300601202404,-10.05,20,20,257
HANG_SENG_CHINA_ENT,0.9,1.0,0.4909819639278557,-9.85,20,20,245
HANG_SENG_CHINA_ENT,0.95,1.0,0.4529058116232465,-9.75,20,20,226
HANG_SENG,0.05,1.0,0.6203653463555797,-56.04651162790697,43,43,3430
HANG_SENG,0.1,1.0,0.5751492132392838,-55.604651162790695,43,43,3180
HANG_SENG,0.15,1.0,0.5521794176162055,-55.48837209302326,43,43,3053
HANG_SENG,0.2,1.0,0.5362633387592693,-55.46511627906977,43,43,2965
HANG_SENG,0.25,1.0,0.5203472599023331,-55.27906976744186,43,43,2877
HANG_SENG,0.3,1.0,0.5058780973051185,-55.27906976744186,43,43,2797
HANG_SENG,0.35,1.0,0.49394103816241636,-55.27906976744186,43,43,2731
HANG_SENG,0.39999999999999997,1.0,0.4830891662145053,-55.27906976744186,43,43,2671
HANG_SENG,0.44999999999999996,1.0,0.47368421052631576,-55.27906976744186,43,43,2619
HANG_SENG,0.49999999999999994,1.0,0.46337493217580034,-55.04651162790697,43,43,2562
HANG_SENG,0.5499999999999999,1.0,0.4546934346174715,-55.02325581395349,43,43,2514
HANG_SENG,0.6,1.0,0.4447458853318864,-54.95348837209303,43,43,2459
HANG_SENG,0.65,1.0,0.43443660698137093,-54.93023255813954,43,43,2402
HANG_SENG,0.7,1.0,0.42340387050099476,-54.93023255813954,43,43,2341
HANG_SENG,0.75,1.0,0.4127328630855489,-54.93023255813954,43,43,2282
HANG_SENG,0.7999999999999999,1.0,0.40170012660517274,-54.93023255813954,43,43,2221
HANG_SENG,0.85,1.0,0.3861457768131669,-54.51162790697674,43,43,2135
HANG_SENG,0.9,1.0,0.3658889491770664,-54.51162790697674,43,43,2023
HANG_SENG,0.95,1.0,0.33496111412552,-54.30232558139535,43,43,1852
NASDAQ,0.05,1.0,0.6936825885978428,-9.8,10,10,4502
NASDAQ,0.1,1.0,0.6570107858243451,-9.8,10,10,4264
NASDAQ,0.15,1.0,0.6332819722650231,-9.8,10,10,4110
NASDAQ,0.2,1.0,0.6187981510015408,-9.7,10,10,4016
NASDAQ,0.25,1.0,0.6036979969183359,-9.6,10,10,3918
NASDAQ,0.3,1.0,0.5882896764252696,-9.1,10,10,3818
NASDAQ,0.35,1.0,0.5756548536209554,-9.1,10,10,3736
NASDAQ,0.39999999999999997,1.0,0.5645608628659476,-8.8,10,10,3664
NASDAQ,0.44999999999999996,1.0,0.5545454545454546,-8.8,10,10,3599
NASDAQ,0.49999999999999994,1.0,0.5445300462249615,-8.8,10,10,3534
NASDAQ,0.5499999999999999,1.0,0.5354391371340523,-8.8,10,10,3475
NASDAQ,0.6,1.0,0.5251155624036979,-8.8,10,10,3408
NASDAQ,0.65,1.0,0.5134052388289676,-8.8,10,10,3332
NASDAQ,0.7,1.0,0.5016949152542373,-8.8,10,10,3256
NASDAQ,0.75,1.0,0.49075500770416025,-8.8,10,10,3185
NASDAQ,0.7999999999999999,1.0,0.47534668721109397,-8.8,10,10,3085
NASDAQ,0.85,1.0,0.45716486902927583,-8.7,10,10,2967
NASDAQ,0.9,1.0,0.43559322033898307,-8.7,10,10,2827
NASDAQ,0.95,1.0,0.4052388289676425,-5.8,10,10,2630
NIFTY50,0.05,1.0,0.6581861718048488,-8.8,5,5,2199
NIFTY50,0.1,1.0,0.6201736007183478,-8.0,5,5,2072
NIFTY50,0.15,1.0,0.5944328045495361,-6.4,5,5,1986
NIFTY50,0.2,1.0,0.5779706674648308,-6.4,5,5,1931
NIFTY50,0.25,1.0,0.565100269380425,-5.8,5,5,1888
NIFTY50,0.3,1.0,0.5501346902125113,-5.8,5,5,1838
NIFTY50,0.35,1.0,0.5372642921281053,-5.8,5,5,1795
NIFTY50,0.39999999999999997,1.0,0.5315773720442981,-5.8,5,5,1776
NIFTY50,0.44999999999999996,1.0,0.5202035318766837,-5.8,5,5,1738
NIFTY50,0.49999999999999994,1.0,0.5115234959592936,-5.8,5,5,1709
NIFTY50,0.5499999999999999,1.0,0.5007482789583957,-5.6,5,5,1673
NIFTY50,0.6,1.0,0.48997306195749774,-5.6,5,5,1637
NIFTY50,0.65,1.0,0.47889853337324156,-5.6,5,5,1600
NIFTY50,0.7,1.0,0.4672253816222688,-5.6,5,5,1561
NIFTY50,0.75,1.0,0.4579467225381622,-5.6,5,5,1530
NIFTY50,0.7999999999999999,1.0,0.4444777012870398,-5.6,5,5,1485
NIFTY50,0.85,1.0,0.4268183178689015,-5.6,5,5,1426
NIFTY50,0.9,1.0,0.40676444178389703,-5.2,5,5,1359
NIFTY50,0.95,1.0,0.3750374139479198,-4.8,5,5,1253
NIKKEI225,0.05,1.0,0.6385099685204617,-7.9,10,10,1217
NIKKEI225,0.1,1.0,0.602308499475341,-7.8,10,10,1148
NIKKEI225,0.15,1.0,0.5818467995802729,-7.8,10,10,1109
NIKKEI225,0.2,1.0,0.561909758656873,-6.0,10,10,1071
NIKKEI225,0.25,1.0,0.5503672612801679,-5.9,10,10,1049
NIKKEI225,0.3,1.0,0.540398740818468,-5.9,10,10,1030
